Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Team,Start Date,End Date
YS Chahal,2014-2021,113,112.0,404.0,4.0,3063.0,139.0,4/25,22.03,7.58,17.4,2.0,0.0,RCB,2013-01-01,2025-03-01
HV Patel,2014-2023,68,66.0,229.4,2.0,1954.0,90.0,5/27,21.71,8.5,15.3,2.0,1.0,RCB,2013-01-01,2025-03-01
Mohammed Siraj,2018-2024,87,87.0,303.2,4.0,2610.0,83.0,4/21,31.44,8.6,21.9,1.0,0.0,RCB,2013-01-01,2025-03-01
PW Hasaranga,2021-2023,26,26.0,92.0,1.0,748.0,35.0,5/18,21.37,8.13,15.7,1.0,1.0,RCB,2013-01-01,2025-03-01
MA Starc,2014-2015,27,26.0,96.4,1.0,693.0,34.0,4/15,20.38,7.16,17.0,1.0,0.0,RCB,2013-01-01,2025-03-01
UT Yadav,2018-2020,27,27.0,98.0,1.0,872.0,28.0,3/23,31.14,8.89,21.0,0.0,0.0,RCB,2013-01-01,2025-03-01
SR Watson,2016-2017,24,24.0,83.2,0.0,730.0,25.0,4/29,29.2,8.76,20.0,1.0,0.0,RCB,2013-01-01,2025-03-01
S Aravind,2015-2017,24,24.0,77.4,0.0,623.0,24.0,4/27,25.95,8.02,19.4,1.0,0.0,RCB,2013-01-01,2025-03-01
JR Hazlewood,2022-2023,15,15.0,55.3,1.0,453.0,23.0,4/25,19.69,8.16,14.4,1.0,0.0,RCB,2013-01-01,2025-03-01
R Vinay Kumar,2013-2013,16,16.0,60.1,0.0,493.0,23.0,3/18,21.43,8.19,15.6,0.0,0.0,RCB,2013-01-01,2025-03-01
VR Aaron,2014-2016,24,23.0,77.4,1.0,703.0,21.0,3/16,33.47,9.05,22.1,0.0,0.0,RCB,2013-01-01,2025-03-01
P Negi,2017-2019,21,18.0,47.2,0.0,348.0,20.0,3/10,17.4,7.35,14.2,0.0,0.0,RCB,2013-01-01,2025-03-01
Washington Sundar,2018-2021,31,31.0,95.0,1.0,682.0,19.0,3/24,35.89,7.17,30.0,0.0,0.0,RCB,2013-01-01,2025-03-01
GJ Maxwell,2021-2024,52,29.0,66.2,1.0,523.0,18.0,2/22,29.05,7.88,22.1,0.0,0.0,RCB,2013-01-01,2025-03-01
NA Saini,2019-2021,28,28.0,97.4,1.0,828.0,17.0,2/24,48.7,8.47,34.4,0.0,0.0,RCB,2013-01-01,2025-03-01
KV Sharma,2023-2024,16,16.0,45.3,0.0,477.0,17.0,2/19,28.05,10.48,16.0,0.0,0.0,RCB,2013-01-01,2025-03-01
D Wiese,2015-2016,15,14.0,46.2,0.0,402.0,16.0,4/33,25.12,8.67,17.3,1.0,0.0,RCB,2013-01-01,2025-03-01
Yash Dayal,2024-2024,14,14.0,50.1,0.0,459.0,15.0,3/20,30.6,9.14,20.0,0.0,0.0,RCB,2013-01-01,2025-03-01
R Rampaul,2013-2014,12,12.0,43.4,4.0,298.0,14.0,3/31,21.28,6.82,18.7,0.0,0.0,RCB,2013-01-01,2025-03-01
Shahbaz Ahmed,2020-2023,39,27.0,62.0,0.0,567.0,14.0,3/7,40.5,9.14,26.5,0.0,0.0,RCB,2013-01-01,2025-03-01
RP Singh,2013-2013,11,11.0,39.5,0.0,335.0,13.0,3/13,25.76,8.41,18.3,0.0,0.0,RCB,2013-01-01,2025-03-01
JD Unadkat,2013-2013,13,13.0,49.0,0.0,370.0,13.0,5/25,28.46,7.55,22.6,0.0,1.0,RCB,2013-01-01,2025-03-01
V Vyshak,2023-2024,11,11.0,38.3,0.0,395.0,13.0,3/20,30.38,10.25,17.7,0.0,0.0,RCB,2013-01-01,2025-03-01
Iqbal Abdulla,2015-2017,15,15.0,49.0,1.0,418.0,12.0,3/40,34.83,8.53,24.5,0.0,0.0,RCB,2013-01-01,2025-03-01
CJ Jordan,2016-2016,9,9.0,28.0,0.0,258.0,11.0,4/11,23.45,9.21,15.2,1.0,0.0,RCB,2013-01-01,2025-03-01
CH Morris,2020-2020,9,9.0,31.4,1.0,210.0,11.0,4/26,19.09,6.63,17.2,1.0,0.0,RCB,2013-01-01,2025-03-01
MM Ali,2018-2020,19,17.0,43.1,0.0,308.0,10.0,2/18,30.8,7.13,25.9,0.0,0.0,RCB,2013-01-01,2025-03-01
C Green,2024-2024,13,13.0,35.1,0.0,303.0,10.0,2/12,30.3,8.61,21.1,0.0,0.0,RCB,2013-01-01,2025-03-01
S Badree,2017-2017,7,7.0,25.0,1.0,188.0,9.0,4/9,20.88,7.52,16.6,1.0,0.0,RCB,2013-01-01,2025-03-01
LH Ferguson,2024-2024,7,7.0,24.0,0.0,255.0,9.0,2/23,28.33,10.62,16.0,0.0,0.0,RCB,2013-01-01,2025-03-01
KA Jamieson,2021-2021,9,9.0,28.0,0.0,269.0,9.0,3/41,29.88,9.6,18.6,0.0,0.0,RCB,2013-01-01,2025-03-01
M Kartik,2013-2013,11,11.0,39.0,0.0,284.0,9.0,2/24,31.55,7.28,26.0,0.0,0.0,RCB,2013-01-01,2025-03-01
WD Parnell,2023-2023,7,7.0,25.1,0.0,236.0,9.0,3/10,26.22,9.37,16.7,0.0,0.0,RCB,2013-01-01,2025-03-01
KW Richardson,2016-2021,5,5.0,17.0,0.0,165.0,8.0,3/13,20.62,9.7,12.7,0.0,0.0,RCB,2013-01-01,2025-03-01
I Udana,2020-2020,10,10.0,29.0,0.0,282.0,8.0,2/41,35.25,9.72,21.7,0.0,0.0,RCB,2013-01-01,2025-03-01
CR Woakes,2018-2018,5,5.0,18.2,0.0,190.0,8.0,3/36,23.75,10.36,13.7,0.0,0.0,RCB,2013-01-01,2025-03-01
Akash Deep,2022-2024,8,8.0,27.2,1.0,319.0,7.0,3/45,45.57,11.67,23.4,0.0,0.0,RCB,2013-01-01,2025-03-01
MC Henriques,2013-2013,10,8.0,21.1,0.0,185.0,7.0,2/14,26.42,8.74,18.1,0.0,0.0,RCB,2013-01-01,2025-03-01
MG Bracewell,2023-2023,5,5.0,11.0,0.0,95.0,6.0,2/13,15.83,8.63,11.0,0.0,0.0,RCB,2013-01-01,2025-03-01
M Muralidaran,2013-2014,11,11.0,39.0,0.0,301.0,6.0,2/25,50.16,7.71,39.0,0.0,0.0,RCB,2013-01-01,2025-03-01
TG Southee,2018-2019,11,11.0,38.0,0.0,379.0,6.0,3/30,63.16,9.97,38.0,0.0,0.0,RCB,2013-01-01,2025-03-01
Swapnil Singh,2024-2024,7,7.0,15.0,0.0,133.0,6.0,2/28,22.16,8.86,15.0,0.0,0.0,RCB,2013-01-01,2025-03-01
STR Binny,2016-2017,22,15.0,23.0,0.0,184.0,5.0,1/9,36.8,8.0,27.6,0.0,0.0,RCB,2013-01-01,2025-03-01
A Choudhary,2017-2017,5,5.0,16.5,2.0,144.0,5.0,2/17,28.8,8.55,20.2,0.0,0.0,RCB,2013-01-01,2025-03-01
AB Dinda,2014-2015,11,11.0,36.0,0.0,332.0,5.0,1/14,66.4,9.22,43.2,0.0,0.0,RCB,2013-01-01,2025-03-01
CH Gayle,2013-2017,58,9.0,16.0,0.0,118.0,5.0,2/5,23.6,7.37,19.2,0.0,0.0,RCB,2013-01-01,2025-03-01
Z Khan,2013-2013,2,2.0,6.0,0.0,47.0,5.0,4/17,9.4,7.83,7.2,1.0,0.0,RCB,2013-01-01,2025-03-01
TS Mills,2017-2017,5,5.0,17.5,0.0,153.0,5.0,2/31,30.6,8.57,21.4,0.0,0.0,RCB,2013-01-01,2025-03-01
DW Steyn,2019-2020,5,5.0,19.4,0.0,202.0,5.0,2/29,40.4,10.27,23.6,0.0,0.0,RCB,2013-01-01,2025-03-01
RJW Topley,2023-2024,5,5.0,17.0,0.0,182.0,5.0,2/27,36.4,10.7,20.4,0.0,0.0,RCB,2013-01-01,2025-03-01
Arshdeep Singh,2019-2024,65,65.0,227.2,1.0,2052.0,76.0,5/32,27.0,9.02,17.9,2.0,1.0,PBKS,2013-01-01,2025-03-01
Sandeep Sharma,2013-2022,61,61.0,224.1,8.0,1740.0,73.0,4/20,23.83,7.76,18.4,2.0,0.0,PBKS,2013-01-01,2025-03-01
AR Patel,2014-2018,73,72.0,254.3,2.0,1888.0,69.0,4/21,27.36,7.41,22.1,1.0,0.0,PBKS,2013-01-01,2025-03-01
Mohammed Shami,2019-2021,42,42.0,160.2,1.0,1324.0,58.0,3/15,22.82,8.25,16.5,0.0,0.0,PBKS,2013-01-01,2025-03-01
K Rabada,2022-2024,30,30.0,113.0,0.0,1010.0,41.0,4/33,24.63,8.93,16.5,2.0,0.0,PBKS,2013-01-01,2025-03-01
SM Curran,2019-2024,36,36.0,121.5,0.0,1228.0,36.0,4/11,34.11,10.07,20.3,1.0,0.0,PBKS,2013-01-01,2025-03-01
MM Sharma,2016-2018,37,37.0,123.5,0.0,1139.0,33.0,3/23,34.51,9.19,22.5,0.0,0.0,PBKS,2013-01-01,2025-03-01
RD Chahar,2022-2024,36,36.0,127.2,1.0,1024.0,32.0,3/23,32.0,8.04,23.8,0.0,0.0,PBKS,2013-01-01,2025-03-01
P Awana,2013-2014,26,26.0,96.3,2.0,819.0,31.0,4/30,26.41,8.48,18.6,1.0,0.0,PBKS,2013-01-01,2025-03-01
MG Johnson,2014-2016,26,26.0,100.2,1.0,886.0,28.0,2/19,31.64,8.83,21.5,0.0,0.0,PBKS,2013-01-01,2025-03-01
AJ Tye,2018-2019,20,20.0,78.0,0.0,681.0,27.0,4/16,25.22,8.73,17.3,3.0,0.0,PBKS,2013-01-01,2025-03-01
R Ashwin,2018-2019,28,28.0,105.4,0.0,810.0,25.0,3/23,32.4,7.66,25.3,0.0,0.0,PBKS,2013-01-01,2025-03-01
Harpreet Brar,2019-2024,41,39.0,113.1,1.0,895.0,25.0,4/30,35.8,7.9,27.1,1.0,0.0,PBKS,2013-01-01,2025-03-01
HV Patel,2024-2024,14,14.0,49.0,0.0,477.0,24.0,3/15,19.87,9.73,12.2,0.0,0.0,PBKS,2013-01-01,2025-03-01
Ravi Bishnoi,2020-2021,23,23.0,87.0,1.0,606.0,24.0,3/24,25.25,6.96,21.7,0.0,0.0,PBKS,2013-01-01,2025-03-01
R Dhawan,2014-2024,33,31.0,95.2,0.0,782.0,23.0,2/14,34.0,8.2,24.8,0.0,0.0,PBKS,2013-01-01,2025-03-01
Anureet Singh,2014-2017,22,22.0,76.1,0.0,672.0,20.0,3/12,33.6,8.82,22.8,0.0,0.0,PBKS,2013-01-01,2025-03-01
NT Ellis,2021-2024,16,16.0,59.0,0.0,508.0,18.0,4/30,28.22,8.61,19.6,1.0,0.0,PBKS,2013-01-01,2025-03-01
Karanveer Singh,2014-2015,14,14.0,49.2,0.0,438.0,18.0,4/15,24.33,8.87,16.4,2.0,0.0,PBKS,2013-01-01,2025-03-01
Mujeeb Ur Rahman,2018-2020,18,18.0,68.2,0.0,563.0,17.0,3/27,33.11,8.23,24.1,0.0,0.0,PBKS,2013-01-01,2025-03-01
M Ashwin,2019-2021,22,22.0,76.3,0.0,587.0,16.0,3/21,36.68,7.67,28.6,0.0,0.0,PBKS,2013-01-01,2025-03-01
Azhar Mahmood,2013-2013,11,11.0,43.5,0.0,330.0,15.0,3/21,22.0,7.52,17.5,0.0,0.0,PBKS,2013-01-01,2025-03-01
GJ Maxwell,2014-2020,70,40.0,77.0,0.0,656.0,14.0,2/15,46.85,8.51,33.0,0.0,0.0,PBKS,2013-01-01,2025-03-01
AS Rajpoot,2018-2019,12,12.0,42.1,1.0,375.0,14.0,5/14,26.78,8.89,18.0,0.0,1.0,PBKS,2013-01-01,2025-03-01
CJ Jordan,2020-2021,13,13.0,43.3,0.0,400.0,13.0,3/17,30.76,9.19,20.0,0.0,0.0,PBKS,2013-01-01,2025-03-01
MP Stoinis,2016-2018,19,18.0,44.3,0.0,424.0,13.0,4/15,32.61,9.52,20.5,1.0,0.0,PBKS,2013-01-01,2025-03-01
L Balaji,2014-2014,9,9.0,34.0,0.0,299.0,12.0,4/13,24.91,8.79,17.0,1.0,0.0,PBKS,2013-01-01,2025-03-01
P Kumar,2013-2013,15,15.0,56.2,3.0,373.0,12.0,2/10,31.08,6.62,28.1,0.0,0.0,PBKS,2013-01-01,2025-03-01
PP Chawla,2013-2013,16,16.0,58.2,0.0,418.0,11.0,2/20,38.0,7.16,31.8,0.0,0.0,PBKS,2013-01-01,2025-03-01
LS Livingstone,2022-2024,30,21.0,42.0,0.0,380.0,11.0,3/27,34.54,9.04,22.9,0.0,0.0,PBKS,2013-01-01,2025-03-01
BE Hendricks,2014-2015,7,7.0,25.0,0.0,235.0,9.0,3/36,26.11,9.4,16.6,0.0,0.0,PBKS,2013-01-01,2025-03-01
NLTC Perera,2014-2015,7,7.0,20.0,0.0,166.0,8.0,2/15,20.75,8.3,15.0,0.0,0.0,PBKS,2013-01-01,2025-03-01
VR Aaron,2017-2017,6,6.0,20.0,0.0,163.0,7.0,2/3,23.28,8.15,17.1,0.0,0.0,PBKS,2013-01-01,2025-03-01
KC Cariappa,2016-2017,9,9.0,32.0,0.0,286.0,7.0,2/16,40.85,8.93,27.4,0.0,0.0,PBKS,2013-01-01,2025-03-01
MS Gony,2013-2013,8,8.0,28.0,0.0,256.0,7.0,2/24,36.57,9.14,24.0,0.0,0.0,PBKS,2013-01-01,2025-03-01
GC Viljoen,2019-2019,6,6.0,23.0,0.0,222.0,7.0,2/39,31.71,9.65,19.7,0.0,0.0,PBKS,2013-01-01,2025-03-01
SS Cottrell,2020-2020,6,6.0,20.0,1.0,176.0,6.0,2/17,29.33,8.8,20.0,0.0,0.0,PBKS,2013-01-01,2025-03-01
OF Smith,2022-2022,6,6.0,15.0,0.0,178.0,6.0,4/30,29.66,11.86,15.0,1.0,0.0,PBKS,2013-01-01,2025-03-01
Gurkeerat Singh,2013-2017,25,6.0,13.0,0.0,97.0,5.0,2/15,19.4,7.46,15.6,0.0,0.0,PBKS,2013-01-01,2025-03-01
Harmeet Singh,2013-2013,3,3.0,11.2,0.0,87.0,5.0,3/24,17.4,7.67,13.6,0.0,0.0,PBKS,2013-01-01,2025-03-01
MC Henriques,2021-2021,5,5.0,10.0,0.0,45.0,4.0,3/12,11.25,4.5,15.0,0.0,0.0,PBKS,2013-01-01,2025-03-01
RP Meredith,2021-2021,5,5.0,17.0,0.0,169.0,4.0,1/29,42.25,9.94,25.5,0.0,0.0,PBKS,2013-01-01,2025-03-01
Shivam Sharma,2014-2015,5,5.0,19.0,0.0,165.0,4.0,2/26,41.25,8.68,28.5,0.0,0.0,PBKS,2013-01-01,2025-03-01
BB Sran,2018-2018,6,6.0,22.0,0.0,229.0,4.0,2/50,57.25,10.4,33.0,0.0,0.0,PBKS,2013-01-01,2025-03-01
VG Arora,2022-2022,5,5.0,17.5,0.0,164.0,3.0,2/21,54.66,9.19,35.6,0.0,0.0,PBKS,2013-01-01,2025-03-01
JA Richardson,2021-2021,3,3.0,11.0,0.0,117.0,3.0,2/41,39.0,10.63,22.0,0.0,0.0,PBKS,2013-01-01,2025-03-01
P Sahu,2016-2016,5,5.0,17.3,0.0,146.0,3.0,2/18,48.66,8.34,35.0,0.0,0.0,PBKS,2013-01-01,2025-03-01
Sikandar Raza,2023-2024,9,7.0,14.0,0.0,141.0,3.0,1/19,47.0,10.07,28.0,0.0,0.0,PBKS,2013-01-01,2025-03-01
R Tewatia,2017-2017,3,3.0,9.0,0.0,49.0,3.0,2/18,16.33,5.44,18.0,0.0,0.0,PBKS,2013-01-01,2025-03-01
KJ Abbott,2016-2016,5,5.0,16.0,0.0,177.0,2.0,1/38,88.5,11.06,48.0,0.0,0.0,PBKS,2013-01-01,2025-03-01
JJ Bumrah,2013-2024,136,136.0,519.3,8.0,3799.0,168.0,5/10,22.61,7.31,18.5,2.0,2.0,MI,2013-01-01,2025-03-01
SL Malinga,2013-2019,69,69.0,265.1,3.0,2074.0,88.0,4/23,23.56,7.82,18.0,4.0,0.0,MI,2013-01-01,2025-03-01
Harbhajan Singh,2013-2017,81,81.0,303.0,3.0,2128.0,81.0,4/32,26.27,7.02,22.4,1.0,0.0,MI,2013-01-01,2025-03-01
MJ McClenaghan,2015-2019,56,56.0,212.2,1.0,1803.0,71.0,4/21,25.39,8.49,17.9,1.0,0.0,MI,2013-01-01,2025-03-01
HH Pandya,2015-2024,106,72.0,180.5,0.0,1700.0,53.0,3/20,32.07,9.4,20.4,0.0,0.0,MI,2013-01-01,2025-03-01
KH Pandya,2016-2021,84,81.0,240.4,0.0,1773.0,51.0,3/14,34.76,7.36,28.3,0.0,0.0,MI,2013-01-01,2025-03-01
RD Chahar,2019-2021,39,39.0,143.0,0.0,1059.0,41.0,4/27,25.82,7.4,20.9,1.0,0.0,MI,2013-01-01,2025-03-01
TA Boult,2020-2021,29,29.0,108.4,4.0,863.0,38.0,4/18,22.71,7.94,17.1,1.0,0.0,MI,2013-01-01,2025-03-01
PP Chawla,2021-2024,28,28.0,100.0,0.0,845.0,36.0,3/22,23.47,8.45,16.6,0.0,0.0,MI,2013-01-01,2025-03-01
KA Pollard,2013-2022,153,72.0,141.3,0.0,1331.0,35.0,3/31,38.02,9.4,24.2,0.0,0.0,MI,2013-01-01,2025-03-01
MG Johnson,2013-2017,25,25.0,95.0,1.0,702.0,33.0,3/26,21.27,7.38,17.2,0.0,0.0,MI,2013-01-01,2025-03-01
PP Ojha,2013-2015,37,36.0,124.4,1.0,958.0,30.0,3/11,31.93,7.68,24.9,0.0,0.0,MI,2013-01-01,2025-03-01
JP Behrendorff,2019-2023,17,17.0,61.0,0.0,552.0,19.0,3/23,29.05,9.04,19.2,0.0,0.0,MI,2013-01-01,2025-03-01
NM Coulter-Nile,2013-2021,18,18.0,68.4,0.0,481.0,19.0,4/14,25.31,7.0,21.6,1.0,0.0,MI,2013-01-01,2025-03-01
A Madhwal,2023-2024,13,13.0,43.4,0.0,424.0,19.0,5/5,22.31,9.7,13.7,1.0,1.0,MI,2013-01-01,2025-03-01
M Markande,2018-2022,19,19.0,57.0,0.0,484.0,17.0,4/23,28.47,8.49,20.1,1.0,0.0,MI,2013-01-01,2025-03-01
RP Meredith,2022-2023,13,13.0,47.4,0.0,443.0,15.0,2/24,29.53,9.29,19.0,0.0,0.0,MI,2013-01-01,2025-03-01
G Coetzee,2024-2024,10,10.0,33.3,0.0,341.0,13.0,4/34,26.23,10.17,15.4,1.0,0.0,MI,2013-01-01,2025-03-01
DR Sams,2022-2022,11,11.0,42.0,0.0,370.0,13.0,4/30,28.46,8.8,19.3,1.0,0.0,MI,2013-01-01,2025-03-01
KV Sharma,2017-2017,9,9.0,30.4,0.0,214.0,13.0,4/16,16.46,6.97,14.1,1.0,0.0,MI,2013-01-01,2025-03-01
TG Southee,2016-2017,14,14.0,53.0,1.0,425.0,12.0,3/24,35.41,8.01,26.5,0.0,0.0,MI,2013-01-01,2025-03-01
R Vinay Kumar,2015-2017,17,17.0,55.3,1.0,463.0,12.0,2/17,38.58,8.34,27.7,0.0,0.0,MI,2013-01-01,2025-03-01
JL Pattinson,2020-2020,10,10.0,35.3,0.0,320.0,11.0,2/19,29.09,9.01,19.3,0.0,0.0,MI,2013-01-01,2025-03-01
S Gopal,2014-2024,11,10.0,28.1,0.0,250.0,10.0,2/25,25.0,8.87,16.9,0.0,0.0,MI,2013-01-01,2025-03-01
K Kartikeya,2022-2023,12,12.0,39.0,0.0,329.0,10.0,2/22,32.9,8.43,23.4,0.0,0.0,MI,2013-01-01,2025-03-01
J Suchith,2015-2016,14,13.0,41.0,0.0,368.0,10.0,2/14,36.8,8.97,24.6,0.0,0.0,MI,2013-01-01,2025-03-01
M Ashwin,2022-2022,8,8.0,29.0,0.0,228.0,9.0,2/14,25.33,7.86,19.3,0.0,0.0,MI,2013-01-01,2025-03-01
DS Kulkarni,2013-2021,8,8.0,25.4,0.0,221.0,8.0,3/19,27.62,8.61,19.2,0.0,0.0,MI,2013-01-01,2025-03-01
N Thushara,2024-2024,7,7.0,26.0,0.0,257.0,8.0,3/28,32.12,9.88,19.5,0.0,0.0,MI,2013-01-01,2025-03-01
Mustafizur Rahman,2018-2018,7,7.0,27.3,0.0,230.0,7.0,3/24,32.85,8.36,23.5,0.0,0.0,MI,2013-01-01,2025-03-01
C Green,2023-2023,16,16.0,38.0,0.0,361.0,6.0,2/41,60.16,9.5,38.0,0.0,0.0,MI,2013-01-01,2025-03-01
AS Joseph,2019-2019,3,3.0,8.4,1.0,87.0,6.0,6/12,14.5,10.03,8.6,0.0,1.0,MI,2013-01-01,2025-03-01
TS Mills,2022-2022,5,5.0,17.0,0.0,190.0,6.0,3/35,31.66,11.17,17.0,0.0,0.0,MI,2013-01-01,2025-03-01
Ramandeep Singh,2022-2022,5,3.0,6.0,0.0,54.0,6.0,3/20,9.0,9.0,6.0,0.0,0.0,MI,2013-01-01,2025-03-01
