Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Team,Start Date,End Date
Harbhajan Singh,2018-2019,24,23.0,75.5,1.0,582.0,23.0,3/20,25.3,7.67,19.7,0.0,0.0,CSK,2013-01-01,2025-03-01
SM Curran,2020-2021,23,22.0,75.0,0.0,672.0,22.0,3/19,30.54,8.96,20.4,0.0,0.0,CSK,2013-01-01,2025-03-01
CH Morris,2013-2013,17,17.0,54.0,0.0,426.0,17.0,3/40,25.05,7.88,19.0,0.0,0.0,CSK,2013-01-01,2025-03-01
IC Pandey,2014-2015,25,23.0,77.0,4.0,572.0,17.0,2/23,33.64,7.42,27.1,0.0,0.0,CSK,2013-01-01,2025-03-01
Mukesh Choudhary,2022-2024,14,14.0,46.3,0.0,451.0,16.0,4/46,28.18,9.69,17.4,1.0,0.0,CSK,2013-01-01,2025-03-01
MJ Santner,2019-2024,18,18.0,61.0,0.0,422.0,15.0,2/13,28.13,6.91,24.4,0.0,0.0,CSK,2013-01-01,2025-03-01
Mustafizur Rahman,2024-2024,9,9.0,34.2,1.0,318.0,14.0,4/29,22.71,9.26,14.7,1.0,0.0,CSK,2013-01-01,2025-03-01
P Negi,2014-2015,14,14.0,45.0,0.0,377.0,13.0,5/22,29.0,8.37,20.7,0.0,1.0,CSK,2013-01-01,2025-03-01
JR Hazlewood,2020-2021,12,12.0,45.0,0.0,357.0,12.0,3/24,29.75,7.93,22.5,0.0,0.0,CSK,2013-01-01,2025-03-01
KV Sharma,2018-2020,12,11.0,31.2,0.0,287.0,10.0,2/13,28.7,9.15,18.8,0.0,0.0,CSK,2013-01-01,2025-03-01
SK Raina,2013-2021,105,21.0,44.0,0.0,308.0,9.0,2/10,34.22,7.0,29.3,0.0,0.0,CSK,2013-01-01,2025-03-01
Simarjeet Singh,2022-2024,10,10.0,30.0,0.0,259.0,9.0,3/26,28.77,8.63,20.0,0.0,0.0,CSK,2013-01-01,2025-03-01
BW Hilfenhaus,2014-2014,8,8.0,28.0,0.0,246.0,8.0,2/32,30.75,8.78,21.0,0.0,0.0,CSK,2013-01-01,2025-03-01
JA Morkel,2013-2013,12,11.0,31.0,0.0,219.0,8.0,3/32,27.37,7.06,23.2,0.0,0.0,CSK,2013-01-01,2025-03-01
PP Chawla,2020-2020,7,7.0,21.0,0.0,191.0,6.0,2/33,31.83,9.09,21.0,0.0,0.0,CSK,2013-01-01,2025-03-01
JO Holder,2013-2013,11,11.0,36.0,0.0,310.0,6.0,2/20,51.66,8.61,36.0,0.0,0.0,CSK,2013-01-01,2025-03-01
D Pretorius,2022-2023,7,7.0,25.0,0.0,238.0,6.0,2/30,39.66,9.52,25.0,0.0,0.0,CSK,2013-01-01,2025-03-01
SR Watson,2018-2020,43,11.0,28.0,0.0,251.0,6.0,2/29,41.83,8.96,28.0,0.0,0.0,CSK,2013-01-01,2025-03-01
Akash Singh,2023-2023,6,6.0,19.0,0.0,188.0,5.0,2/40,37.6,9.89,22.8,0.0,0.0,CSK,2013-01-01,2025-03-01
DR Smith,2014-2015,37,6.0,12.0,0.0,112.0,5.0,1/11,22.4,9.33,14.4,0.0,0.0,CSK,2013-01-01,2025-03-01
KM Asif,2018-2021,3,3.0,8.1,0.0,93.0,4.0,2/43,23.25,11.38,12.2,0.0,0.0,CSK,2013-01-01,2025-03-01
DP Nannes,2013-2013,5,5.0,19.5,0.0,158.0,4.0,2/17,39.5,7.96,29.7,0.0,0.0,CSK,2013-01-01,2025-03-01
RS Hangargekar,2023-2023,2,2.0,6.0,0.0,60.0,3.0,3/36,20.0,10.0,12.0,0.0,0.0,CSK,2013-01-01,2025-03-01
S Badree,2014-2014,4,4.0,14.0,0.0,97.0,2.0,1/19,48.5,6.92,42.0,0.0,0.0,CSK,2013-01-01,2025-03-01
DJ Hussey,2014-2014,5,1.0,2.5,0.0,38.0,2.0,2/38,19.0,13.41,8.5,0.0,0.0,CSK,2013-01-01,2025-03-01
CJ Jordan,2022-2022,4,4.0,12.5,0.0,135.0,2.0,2/23,67.5,10.51,38.5,0.0,0.0,CSK,2013-01-01,2025-03-01
SC Kuggeleijn,2019-2019,2,2.0,8.0,0.0,71.0,2.0,2/37,35.5,8.87,24.0,0.0,0.0,CSK,2013-01-01,2025-03-01
PH Solanki,2022-2022,2,2.0,6.0,0.0,38.0,2.0,2/20,19.0,6.33,18.0,0.0,0.0,CSK,2013-01-01,2025-03-01
DJ Willey,2018-2018,3,3.0,10.0,0.0,95.0,2.0,1/24,47.5,9.5,30.0,0.0,0.0,CSK,2013-01-01,2025-03-01
S Dube,2022-2024,41,3.0,3.0,0.0,50.0,1.0,1/14,50.0,16.66,18.0,0.0,0.0,CSK,2013-01-01,2025-03-01
RJ Gleeson,2024-2024,2,2.0,7.5,0.0,71.0,1.0,1/30,71.0,9.06,47.0,0.0,0.0,CSK,2013-01-01,2025-03-01
JW Hastings,2014-2014,2,2.0,5.0,0.0,45.0,1.0,1/29,45.0,9.0,30.0,0.0,0.0,CSK,2013-01-01,2025-03-01
B Laughlin,2013-2013,2,2.0,7.0,0.0,71.0,1.0,1/25,71.0,10.14,42.0,0.0,0.0,CSK,2013-01-01,2025-03-01
SSB Magala,2023-2023,2,2.0,6.0,0.0,51.0,1.0,1/37,51.0,8.5,36.0,0.0,0.0,CSK,2013-01-01,2025-03-01
DJ Mitchell,2024-2024,13,2.0,6.0,0.0,70.0,1.0,1/18,70.0,11.66,36.0,0.0,0.0,CSK,2013-01-01,2025-03-01
RG More,2015-2015,2,2.0,5.5,0.0,59.0,1.0,1/31,59.0,10.11,35.0,0.0,0.0,CSK,2013-01-01,2025-03-01
AS Rajpoot,2013-2013,2,2.0,4.0,0.0,35.0,1.0,1/25,35.0,8.75,24.0,0.0,0.0,CSK,2013-01-01,2025-03-01
YS Chahal,2022-2024,46,46.0,178.5,0.0,1505.0,66.0,5/40,22.8,8.41,16.2,4.0,1.0,RR,2013-01-01,2025-03-01
JP Faulkner,2013-2015,48,48.0,175.1,3.0,1451.0,53.0,5/16,27.37,8.28,19.8,0.0,2.0,RR,2013-01-01,2025-03-01
JC Archer,2018-2020,35,35.0,137.3,2.0,981.0,46.0,3/15,21.32,7.13,17.9,0.0,0.0,RR,2013-01-01,2025-03-01
TA Boult,2022-2024,42,41.0,153.2,6.0,1247.0,45.0,3/22,27.71,8.13,20.4,0.0,0.0,RR,2013-01-01,2025-03-01
S Gopal,2018-2021,42,41.0,136.0,1.0,1094.0,41.0,4/16,26.68,8.04,19.9,1.0,0.0,RR,2013-01-01,2025-03-01
R Ashwin,2022-2024,45,44.0,171.0,0.0,1338.0,35.0,3/17,38.22,7.82,29.3,0.0,0.0,RR,2013-01-01,2025-03-01
PV Tambe,2013-2015,31,31.0,113.0,0.0,788.0,35.0,4/15,22.51,6.97,19.3,2.0,0.0,RR,2013-01-01,2025-03-01
SR Watson,2013-2015,45,38.0,111.4,2.0,896.0,32.0,3/13,28.0,8.02,20.9,0.0,0.0,RR,2013-01-01,2025-03-01
KK Cooper,2013-2014,25,25.0,95.0,0.0,785.0,29.0,4/18,27.06,8.26,19.6,1.0,0.0,RR,2013-01-01,2025-03-01
DS Kulkarni,2014-2019,37,37.0,116.5,3.0,1021.0,29.0,2/9,35.2,8.73,24.1,0.0,0.0,RR,2013-01-01,2025-03-01
JD Unadkat,2018-2021,39,39.0,132.4,0.0,1280.0,29.0,3/15,44.13,9.64,27.4,0.0,0.0,RR,2013-01-01,2025-03-01
CH Morris,2015-2021,22,22.0,83.0,0.0,687.0,28.0,4/23,24.53,8.27,17.7,2.0,0.0,RR,2013-01-01,2025-03-01
Sandeep Sharma,2023-2024,23,22.0,84.0,0.0,707.0,23.0,5/18,30.73,8.41,21.9,0.0,1.0,RR,2013-01-01,2025-03-01
R Tewatia,2014-2021,32,31.0,95.0,0.0,756.0,21.0,3/25,36.0,7.95,27.1,0.0,0.0,RR,2013-01-01,2025-03-01
Avesh Khan,2024-2024,16,15.0,54.5,0.0,526.0,19.0,3/27,27.68,9.59,17.3,0.0,0.0,RR,2013-01-01,2025-03-01
M Prasidh Krishna,2022-2022,17,17.0,66.3,3.0,551.0,19.0,3/22,29.0,8.28,21.0,0.0,0.0,RR,2013-01-01,2025-03-01
BA Stokes,2018-2021,31,25.0,69.5,1.0,658.0,16.0,3/15,41.12,9.42,26.1,0.0,0.0,RR,2013-01-01,2025-03-01
STR Binny,2013-2019,64,43.0,68.0,0.0,498.0,15.0,2/14,33.2,7.32,27.2,0.0,0.0,RR,2013-01-01,2025-03-01
Mustafizur Rahman,2021-2021,14,14.0,51.5,0.0,436.0,14.0,3/20,31.14,8.41,22.2,0.0,0.0,RR,2013-01-01,2025-03-01
C Sakariya,2021-2021,14,14.0,52.0,1.0,426.0,14.0,3/31,30.42,8.19,22.2,0.0,0.0,RR,2013-01-01,2025-03-01
KR Sen,2022-2024,12,12.0,40.1,0.0,387.0,14.0,4/20,27.64,9.63,17.2,1.0,0.0,RR,2013-01-01,2025-03-01
Kartik Tyagi,2020-2021,14,14.0,52.1,0.0,491.0,13.0,2/29,37.76,9.41,24.0,0.0,0.0,RR,2013-01-01,2025-03-01
R Bhatia,2014-2015,14,14.0,43.0,0.0,329.0,12.0,3/23,27.41,7.65,21.5,0.0,0.0,RR,2013-01-01,2025-03-01
K Gowtham,2018-2019,22,22.0,60.0,0.0,478.0,12.0,2/12,39.83,7.96,30.0,0.0,0.0,RR,2013-01-01,2025-03-01
SK Trivedi,2013-2013,17,17.0,59.5,1.0,410.0,12.0,3/23,34.16,6.85,29.9,0.0,0.0,RR,2013-01-01,2025-03-01
OC McCoy,2022-2023,8,8.0,26.5,0.0,250.0,11.0,3/23,22.72,9.31,14.6,0.0,0.0,RR,2013-01-01,2025-03-01
B Laughlin,2018-2018,7,7.0,20.5,0.0,211.0,9.0,2/15,23.44,10.12,13.8,0.0,0.0,RR,2013-01-01,2025-03-01
KW Richardson,2014-2014,7,7.0,27.0,0.0,206.0,9.0,2/18,22.88,7.62,18.0,0.0,0.0,RR,2013-01-01,2025-03-01
IS Sodhi,2018-2019,8,8.0,30.1,1.0,202.0,9.0,3/26,22.44,6.69,20.1,0.0,0.0,RR,2013-01-01,2025-03-01
VS Malik,2013-2014,7,7.0,22.0,0.0,160.0,8.0,3/24,20.0,7.27,16.5,0.0,0.0,RR,2013-01-01,2025-03-01
R Shukla,2013-2013,7,7.0,21.0,1.0,178.0,8.0,3/23,22.25,8.47,15.7,0.0,0.0,RR,2013-01-01,2025-03-01
A Zampa,2023-2023,6,6.0,22.0,0.0,188.0,8.0,3/22,23.5,8.54,16.5,0.0,0.0,RR,2013-01-01,2025-03-01
Ankit Sharma,2014-2018,8,7.0,23.0,0.0,168.0,7.0,2/20,24.0,7.3,19.7,0.0,0.0,RR,2013-01-01,2025-03-01
N Burger,2024-2024,6,5.0,17.0,0.0,145.0,7.0,2/29,20.71,8.52,14.5,0.0,0.0,RR,2013-01-01,2025-03-01
A Chandila,2013-2013,8,8.0,25.0,0.0,156.0,6.0,2/6,26.0,6.24,25.0,0.0,0.0,RR,2013-01-01,2025-03-01
NA Saini,2022-2023,4,4.0,12.0,0.0,146.0,6.0,3/40,24.33,12.16,12.0,0.0,0.0,RR,2013-01-01,2025-03-01
TG Southee,2014-2015,10,10.0,38.0,1.0,323.0,6.0,2/32,53.83,8.5,38.0,0.0,0.0,RR,2013-01-01,2025-03-01
S Sreesanth,2013-2013,7,7.0,21.4,2.0,163.0,5.0,2/20,32.6,7.52,26.0,0.0,0.0,RR,2013-01-01,2025-03-01
O Thomas,2019-2019,4,4.0,10.0,0.0,79.0,5.0,2/6,15.8,7.9,12.0,0.0,0.0,RR,2013-01-01,2025-03-01
VR Aaron,2019-2020,8,8.0,20.0,1.0,210.0,4.0,2/20,52.5,10.5,30.0,0.0,0.0,RR,2013-01-01,2025-03-01
JO Holder,2023-2023,8,8.0,28.3,0.0,284.0,4.0,2/29,71.0,9.96,42.7,0.0,0.0,RR,2013-01-01,2025-03-01
R Parag,2019-2024,70,21.0,29.1,0.0,307.0,4.0,1/7,76.75,10.52,43.7,0.0,0.0,RR,2013-01-01,2025-03-01
KM Asif,2023-2023,4,4.0,14.0,0.0,138.0,3.0,2/42,46.0,9.85,28.0,0.0,0.0,RR,2013-01-01,2025-03-01
TK Curran,2020-2020,5,5.0,18.1,0.0,208.0,3.0,1/37,69.33,11.44,36.3,0.0,0.0,RR,2013-01-01,2025-03-01
KA Maharaj,2024-2024,2,2.0,6.0,0.0,39.0,2.0,2/23,19.5,6.5,18.0,0.0,0.0,RR,2013-01-01,2025-03-01
AS Rajpoot,2020-2020,6,6.0,17.0,0.0,199.0,2.0,1/39,99.5,11.7,51.0,0.0,0.0,RR,2013-01-01,2025-03-01
K Yadav,2021-2023,3,3.0,9.0,0.0,84.0,2.0,1/18,42.0,9.33,27.0,0.0,0.0,RR,2013-01-01,2025-03-01
Anureet Singh,2018-2018,3,3.0,4.0,0.0,42.0,1.0,1/20,42.0,10.5,24.0,0.0,0.0,RR,2013-01-01,2025-03-01
AA Chavan,2013-2013,3,3.0,9.0,0.0,63.0,1.0,1/28,63.0,7.0,54.0,0.0,0.0,RR,2013-01-01,2025-03-01
BCJ Cutting,2014-2014,1,1.0,4.0,0.0,31.0,1.0,1/31,31.0,7.75,24.0,0.0,0.0,RR,2013-01-01,2025-03-01
SP Narine,2013-2024,167,165.0,640.0,3.0,4353.0,168.0,4/13,25.91,6.8,22.8,7.0,0.0,KKR,2013-01-01,2025-03-01
AD Russell,2014-2024,126,110.0,273.5,0.0,2522.0,116.0,5/15,21.74,9.2,14.1,2.0,1.0,KKR,2013-01-01,2025-03-01
CV Varun,2020-2024,70,69.0,261.4,1.0,1967.0,82.0,5/20,23.98,7.51,19.1,1.0,1.0,KKR,2013-01-01,2025-03-01
PP Chawla,2014-2019,76,75.0,245.2,0.0,2023.0,71.0,4/32,28.49,8.24,20.7,1.0,0.0,KKR,2013-01-01,2025-03-01
UT Yadav,2014-2023,68,68.0,232.3,2.0,1964.0,65.0,4/23,30.21,8.44,21.4,2.0,0.0,KKR,2013-01-01,2025-03-01
Kuldeep Yadav,2014-2020,50,48.0,169.2,0.0,1386.0,46.0,4/20,30.13,8.18,22.0,1.0,0.0,KKR,2013-01-01,2025-03-01
PJ Cummins,2014-2022,33,33.0,123.4,1.0,1103.0,32.0,4/34,34.46,8.91,23.1,1.0,0.0,KKR,2013-01-01,2025-03-01
M Morkel,2014-2016,29,29.0,111.3,2.0,870.0,32.0,2/18,27.18,7.8,20.9,0.0,0.0,KKR,2013-01-01,2025-03-01
M Prasidh Krishna,2018-2021,34,34.0,124.2,0.0,1152.0,30.0,4/30,38.4,9.26,24.8,1.0,0.0,KKR,2013-01-01,2025-03-01
Shivam Mavi,2018-2022,32,32.0,108.1,2.0,942.0,30.0,4/21,31.4,8.7,21.6,1.0,0.0,KKR,2013-01-01,2025-03-01
Harshit Rana,2022-2024,21,19.0,64.1,1.0,581.0,25.0,3/24,23.24,9.05,15.4,0.0,0.0,KKR,2013-01-01,2025-03-01
Shakib Al Hasan,2014-2021,36,35.0,124.0,1.0,918.0,24.0,2/22,38.25,7.4,31.0,0.0,0.0,KKR,2013-01-01,2025-03-01
LH Ferguson,2019-2023,21,21.0,74.3,0.0,651.0,22.0,3/15,29.59,8.73,20.3,0.0,0.0,KKR,2013-01-01,2025-03-01
JH Kallis,2013-2014,28,24.0,79.0,1.0,619.0,20.0,3/13,30.95,7.83,23.7,0.0,0.0,KKR,2013-01-01,2025-03-01
TG Southee,2021-2023,14,14.0,53.0,0.0,449.0,19.0,3/20,23.63,8.47,16.7,0.0,0.0,KKR,2013-01-01,2025-03-01
MA Starc,2024-2024,14,13.0,41.5,0.0,444.0,17.0,4/33,26.11,10.61,14.7,1.0,0.0,KKR,2013-01-01,2025-03-01
CR Woakes,2017-2017,13,13.0,44.0,0.0,386.0,17.0,3/6,22.7,8.77,15.5,0.0,0.0,KKR,2013-01-01,2025-03-01
VG Arora,2023-2024,15,15.0,46.0,0.0,422.0,16.0,3/27,26.37,9.17,17.2,0.0,0.0,KKR,2013-01-01,2025-03-01
NM Coulter-Nile,2017-2017,8,8.0,28.2,0.0,228.0,15.0,3/20,15.2,8.04,11.3,0.0,0.0,KKR,2013-01-01,2025-03-01
GB Hogg,2015-2016,11,11.0,37.0,1.0,286.0,13.0,4/29,22.0,7.72,17.0,1.0,0.0,KKR,2013-01-01,2025-03-01
L Balaji,2013-2013,13,13.0,50.0,1.0,387.0,12.0,3/19,32.25,7.74,25.0,0.0,0.0,KKR,2013-01-01,2025-03-01
R Bhatia,2013-2013,15,15.0,43.5,0.0,332.0,11.0,2/23,30.18,7.57,23.9,0.0,0.0,KKR,2013-01-01,2025-03-01
YK Pathan,2013-2017,80,24.0,48.3,0.0,375.0,10.0,2/25,37.5,7.73,29.1,0.0,0.0,KKR,2013-01-01,2025-03-01
N Rana,2018-2024,90,23.0,29.0,0.0,249.0,10.0,2/11,24.9,8.58,17.4,0.0,0.0,KKR,2013-01-01,2025-03-01
Suyash Sharma,2023-2024,13,13.0,43.0,0.0,372.0,10.0,3/30,37.2,8.65,25.8,0.0,0.0,KKR,2013-01-01,2025-03-01
SMSM Senanayake,2013-2013,8,8.0,32.0,1.0,209.0,9.0,2/26,23.22,6.53,21.3,0.0,0.0,KKR,2013-01-01,2025-03-01
R Vinay Kumar,2014-2018,11,11.0,35.5,0.0,346.0,9.0,2/26,38.44,9.65,23.8,0.0,0.0,KKR,2013-01-01,2025-03-01
HF Gurney,2019-2019,8,8.0,27.0,0.0,238.0,7.0,2/25,34.0,8.81,23.1,0.0,0.0,KKR,2013-01-01,2025-03-01
Iqbal Abdulla,2013-2013,5,5.0,18.5,0.0,142.0,7.0,3/29,20.28,7.53,16.1,0.0,0.0,KKR,2013-01-01,2025-03-01
AS Rajpoot,2016-2017,9,9.0,25.0,0.0,205.0,7.0,3/37,29.28,8.2,21.4,0.0,0.0,KKR,2013-01-01,2025-03-01
SN Thakur,2023-2023,11,9.0,21.0,0.0,220.0,7.0,2/23,31.42,10.47,18.0,0.0,0.0,KKR,2013-01-01,2025-03-01
TK Curran,2018-2018,5,5.0,10.1,0.0,118.0,6.0,2/19,19.66,11.6,10.1,0.0,0.0,KKR,2013-01-01,2025-03-01
TA Boult,2017-2017,6,6.0,23.5,0.0,216.0,5.0,2/30,43.2,9.06,28.6,0.0,0.0,KKR,2013-01-01,2025-03-01
KL Nagarkoti,2020-2021,11,10.0,28.0,0.0,256.0,5.0,2/13,51.2,9.14,33.6,0.0,0.0,KKR,2013-01-01,2025-03-01
C de Grandhomme,2017-2017,12,9.0,16.0,0.0,135.0,4.0,3/4,33.75,8.43,24.0,0.0,0.0,KKR,2013-01-01,2025-03-01
B Lee,2013-2013,3,3.0,12.0,0.0,86.0,4.0,2/40,21.5,7.16,18.0,0.0,0.0,KKR,2013-01-01,2025-03-01
AS Roy,2022-2024,10,8.0,20.4,0.0,180.0,4.0,2/19,45.0,8.7,31.0,0.0,0.0,KKR,2013-01-01,2025-03-01
VR Iyer,2021-2024,51,9.0,13.3,0.0,143.0,3.0,2/29,47.66,10.59,27.0,0.0,0.0,KKR,2013-01-01,2025-03-01
R McLaren,2013-2013,2,2.0,7.0,0.0,94.0,3.0,2/60,31.33,13.42,14.0,0.0,0.0,KKR,2013-01-01,2025-03-01
JW Hastings,2016-2016,2,2.0,6.4,1.0,37.0,2.0,2/6,18.5,5.55,20.0,0.0,0.0,KKR,2013-01-01,2025-03-01
JO Holder,2016-2016,4,4.0,13.0,0.0,103.0,2.0,2/33,51.5,7.92,39.0,0.0,0.0,KKR,2013-01-01,2025-03-01
MG Johnson,2018-2018,6,6.0,21.0,0.0,216.0,2.0,1/30,108.0,10.28,63.0,0.0,0.0,KKR,2013-01-01,2025-03-01
K Khejroliya,2023-2023,2,2.0,4.2,0.0,64.0,2.0,2/44,32.0,14.76,13.0,0.0,0.0,KKR,2013-01-01,2025-03-01
S Sandeep Warrier,2019-2021,5,5.0,17.0,0.0,134.0,2.0,2/31,67.0,7.88,51.0,0.0,0.0,KKR,2013-01-01,2025-03-01
JPR Scantlebury-Searles,2018-2018,4,3.0,7.0,0.0,89.0,2.0,1/24,44.5,12.71,21.0,0.0,0.0,KKR,2013-01-01,2025-03-01
S Ladda,2013-2013,1,1.0,2.0,0.0,18.0,1.0,1/18,18.0,9.0,12.0,0.0,0.0,KKR,2013-01-01,2025-03-01
J Botha,2015-2015,4,4.0,10.0,0.0,81.0,1.0,1/32,81.0,8.1,60.0,0.0,0.0,KKR,2013-01-01,2025-03-01
KC Cariappa,2015-2019,2,2.0,4.0,0.0,62.0,1.0,1/28,62.0,15.5,24.0,0.0,0.0,KKR,2013-01-01,2025-03-01
Mohammed Shami,2013-2013,3,3.0,9.0,0.0,78.0,1.0,1/32,78.0,8.66,54.0,0.0,0.0,KKR,2013-01-01,2025-03-01
Y Prithvi Raj,2019-2019,2,2.0,5.0,0.0,57.0,1.0,1/29,57.0,11.4,30.0,0.0,0.0,KKR,2013-01-01,2025-03-01
