Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Team
Kulwant Khejroliya,9.089595375722544,30.057803468208096,26.502890173410407,6.0,BOWL,GT
Gurnoor Brar Singh,9.089595375722544,24.07514450867052,26.502890173410407,5.5,BOWL,GT
Jayant Yadav,9.089595375722544,42.3699421965318,33.00578034682081,6.5,BOWL,GT
Khaleel Ahmed,9.089595375722544,69.2485549132948,36.04046242774567,7.5,BOWL,CHE
Kuldeep Sen,9.089595375722544,53.930635838150295,46.73410404624278,6.0,BOWL,PBKS
Kwena Maphaka,9.089595375722544,23.30924855491329,26.502890173410407,6.0,BOWL,RR
Tushar Deshpande,9.089595375722544,58.38150289017341,40.3757225433526,7.5,BOWL,RR
Manimaran Siddharth,9.089595375722544,44.75433526011561,33.00578034682081,6.0,BOWL,LSG
Matheesha Pathirana,9.089595375722544,76.04046242774567,52.80346820809249,8.5,BOWL,CHE
Mayank Yadav,9.089595375722544,63.02023121387283,33.00578034682081,7.5,BOWL,LSG
Andre Siddharth,9.089595375722544,44.75433526011561,33.00578034682081,5.5,BAT,CHE
Nuwan Thushara,9.089595375722544,46.57514450867052,33.00578034682081,7.5,BOWL,RCB
Akash Singh,9.089595375722544,41.430635838150295,33.00578034682081,6.0,BOWL,LSG
Prasidh Krishna,9.089595375722544,36.73410404624278,26.502890173410407,7.5,BOWL,GT
Suyash Sharma,9.089595375722544,39.971098265895954,29.68208092485549,6.0,BOWL,RCB
Rajvardhan Hangargekar,9.089595375722544,43.19364161849711,26.502890173410407,5.5,BOWL,LSG
Shreyas Gopal,9.089595375722544,44.27745664739885,33.00578034682081,6.5,BOWL,CHE
Shamar Joseph,9.089595375722544,25.11560693641619,26.502890173410407,6.5,BOWL,LSG
Yash Dayal,9.089595375722544,53.121387283237,40.95375722543353,7.0,BOWL,RCB
Yash Thakur,9.089595375722544,56.835260115606935,39.21965317919075,6.5,BOWL,PBKS
T Natarajan,9.089595375722544,69.23410404624278,52.80346820809249,7.5,BOWL,DC
Dushmantha Chameera,9.089595375722544,22.86127167630058,26.502890173410407,7.0,BOWL,DC
FazalHaq Farooqi,14.147398843930636,36.84971098265896,29.68208092485549,7.0,BOWL,RR
Ishant Sharma,14.956647398843932,63.03468208092486,39.21965317919075,7.5,BOWL,GT
Mohit Sharma,15.679190751445086,60.89595375722544,48.32369942196532,7.5,BOWL,DC
Sandeep Sharma,15.765895953757225,63.6849710982659,55.98265895953757,7.5,BOWL,RR
Yuzvendra Chahal,16.546242774566476,81.47398843930637,41.38728323699422,8.5,BOWL,PBKS
Mohit Rathee,17.283236994219653,23.728323699421967,26.502890173410407,6.0,ALL,RCB
Manav Suthar,17.8757225433526,24.42196531791908,26.502890173410407,6.0,ALL,GT
Kumar Kushagra,18.482658959537574,48.52601156069365,33.00578034682081,5.5,WK,GT
Adam Zampa,18.58381502890173,39.16184971098266,26.502890173410407,7.5,BOWL,SRH
Simarjeet- Singh,18.95953757225433,40.89595375722544,36.04046242774567,6.0,BOWL,SRH
Mohammed Shami,18.95953757225433,60.26011560693642,45.86705202312139,8.5,BOWL,SRH
Reece Topley,19.30635838150289,38.48265895953757,33.00578034682081,6.5,BOWL,MI
Noor Ahmad,21.51734104046243,69.04624277456648,44.85549132947977,7.5,BOWL,CHE
Maheesh Theekshana,22.41329479768786,48.26589595375723,37.63005780346821,7.5,BOWL,RR
Nathan Ellis,23.58381502890174,51.21387283236994,30.404624277456648,7.0,BOWL,CHE
Mitchell Starc,24.49421965317919,65.71098265895954,45.28901734104046,8.5,BOWL,DC
Mukesh Kumar,25.043352601156077,57.514450867052034,52.80346820809249,7.0,BOWL,DC
Akash Madhwal,25.3757225433526,58.41040462427747,33.00578034682081,7.0,BOWL,RR
Chetan Sakariya,25.44797687861272,49.32080924855491,39.21965317919075,6.0,BOWL,KKR
Rasikh Salam,25.65028901734104,37.91907514450868,33.00578034682081,6.5,BOWL,RCB
Anshul Kamboj,25.881502890173408,29.580924855491325,43.26589595375723,6.0,BOWL,CHE
Donovan Ferreira,26.069364161849716,48.52601156069365,33.00578034682081,7.0,ALL,DC
Jofra Archer,26.286127167630056,23.51156069364162,33.00578034682081,8.0,BOWL,RR
Varun Chakravarthy,27.615606936416185,78.49710982658961,62.91907514450868,9.0,BOWL,KKR
Spencer Johnson,27.93352601156069,35.736994219653184,36.61849710982659,6.5,BOWL,KKR
Harshit Rana,28.540462427745663,65.14450867052024,52.80346820809249,8.0,BOWL,KKR
Kumar Kartikeya,28.65606936416185,55.30346820809248,33.00578034682081,6.0,BOWL,RR
Josh Hazlewood,29.508670520231217,71.60404624277457,33.00578034682081,8.5,BOWL,RCB
Gerald Coetzee,30.0,51.517341040462426,39.21965317919075,7.0,BOWL,GT
Ravi Bishnoi,31.44508670520231,70.14450867052024,67.97687861271677,8.0,BOWL,LSG
Mukesh Choudhary,32.02312138728324,54.33526011560694,43.26589595375723,6.5,BOWL,CHE
Vaibhav Arora,33.36705202312139,57.32658959537572,46.73410404624278,6.5,BOWL,KKR
Pravin Dubey,34.76878612716763,49.971098265895954,26.502890173410407,6.0,BOWL,PBKS
Darshan Nalkande,35.202312138728324,44.8121387283237,39.21965317919075,6.5,BOWL,DC
Marco Jansen,35.23121387283237,65.1300578034682,50.63583815028902,8.0,ALL,PBKS
Mohammed Siraj,35.39017341040462,75.28901734104048,58.8728323699422,8.0,BOWL,GT
Jasprit Bumrah,36.127167630057805,80.14450867052024,55.98265895953757,9.0,BOWL,MI
Mitchell Santner,36.48843930635839,51.676300578034684,37.63005780346821,7.5,ALL,MI
Arshdeep Singh,37.18208092485549,72.45664739884394,61.76300578034682,8.5,BOWL,PBKS
Kagiso Rabada,37.48554913294798,57.54335260115607,44.85549132947977,8.5,BOWL,GT
Vyshak Vijaykumar,38.65606936416185,49.43641618497109,46.73410404624278,7.0,BOWL,PBKS
Lockie Ferguson,39.01734104046243,53.32369942196532,45.578034682080926,7.5,BOWL,PBKS
Harshal Patel,39.421965317919074,69.82658959537574,47.601156069364166,8.0,BOWL,SRH
Trent Boult,40.28901734104046,68.81502890173411,57.13872832369943,8.5,BOWL,MI
Jaydev Unadkat,40.83815028901734,41.64739884393064,26.502890173410407,7.0,BOWL,SRH
Anukul Sudhakar Roy,40.9393063583815,44.63872832369943,43.26589595375723,6.0,ALL,KKR
Deepak Chahar,42.02312138728324,60.78034682080926,41.38728323699422,8.0,BOWL,MI
Anrich Nortje,42.18208092485549,67.13872832369943,52.80346820809249,8.0,BOWL,KKR
Mohsin Khan,42.76011560693641,68.9306358381503,39.21965317919075,7.0,BOWL,LSG
Swapnil Singh,43.4393063583815,51.27167630057804,35.46242774566474,7.0,ALL,RCB
Arshad Khan,43.84393063583815,25.520231213872837,37.052023121387286,5.5,ALL,GT
Shahrukh Khan,43.84393063583815,25.520231213872837,37.052023121387286,7.5,ALL,GT
Abhinav Manohar,43.959537572254334,48.52601156069365,49.91329479768786,6.5,BAT,SRH
Sameer Rizvi,43.959537572254334,48.52601156069365,29.68208092485549,6.5,BAT,DC
Bhuvneshwar Kumar,44.32080924855492,69.47976878612717,52.80346820809249,8.0,BOWL,RCB
Wanindu Hasaranga,46.08381502890173,73.4971098265896,43.26589595375723,8.5,ALL,RR
Ravichandran Ashwin,46.24277456647399,62.54335260115607,49.47976878612717,8.0,ALL,CHE
Azmatullah Omarzai,46.44508670520232,53.2514450867052,26.502890173410407,7.5,ALL,PBKS
Arjun Tendulkar,46.517341040462426,40.3757225433526,26.502890173410407,5.0,BOWL,MI
Krunal Pandya,47.65895953757226,65.0,59.73988439306358,7.5,ALL,RCB
Yudhvir Singh Charak,48.6849710982659,40.82369942196532,26.502890173410407,6.5,ALL,RR
Vishnu Vinod,49.580924855491325,48.52601156069365,26.502890173410407,6.5,WK,PBKS
Kuldeep Yadav,50.30346820809248,75.5635838150289,60.46242774566474,8.5,BOWL,DC
Rahul Chahar,50.98265895953757,69.8699421965318,63.93063583815029,6.5,BOWL,SRH
Umran Malik,52.1242774566474,65.63583815028902,52.80346820809249,6.0,BOWL,KKR
Mayank Markande,54.34971098265896,59.56647398843931,43.26589595375723,6.0,BOWL,KKR
Akash Deep,54.76878612716763,38.48265895953757,43.26589595375723,7.0,BOWL,LSG
Manish Pandey,54.91329479768787,48.52601156069365,40.664739884393065,7.0,BAT,KKR
Romario Shepherd,55.40462427745665,40.02890173410405,26.502890173410407,7.0,ALL,RCB
Jitesh Sharma,55.89595375722544,48.52601156069365,89.88439306358381,7.5,WK,RCB
Ravisrinivasan Sai Kishore,56.3150289017341,66.09826589595376,48.90173410404624,7.0,BOWL,GT
Washington Sundar,56.38728323699422,50.621387283237,43.26589595375723,7.0,ALL,GT
Deepak Hooda,56.38728323699422,44.0606936416185,61.1849710982659,7.0,BAT,CHE
Shahbaz Ahmed,56.41618497109827,41.9942196531792,54.53757225433526,7.0,ALL,LSG
Avesh Khan,56.77745664739884,61.242774566474,41.82080924855492,8.0,BOWL,LSG
Harpreet Brar,58.26589595375723,68.09248554913296,65.95375722543353,6.5,BOWL,PBKS
Tim David,58.4971098265896,48.52601156069365,62.19653179190752,7.5,BAT,RCB
Rishabh Pant,61.70520231213873,48.52601156069365,92.42774566473987,9.0,WK,LSG
Anuj Rawat,61.84971098265896,48.52601156069365,74.39306358381504,6.5,WK,GT
Marcus Stoinis,62.08092485549134,64.6242774566474,50.63583815028902,8.0,ALL,PBKS
Pat Cummins,62.19653179190751,54.45086705202313,60.46242774566474,8.5,BOWL,SRH
Karn Sharma,62.25433526011561,51.77745664739885,52.80346820809249,6.5,BOWL,MI
Devdutt Padikkal,62.34104046242775,48.52601156069365,55.40462427745665,7.0,BAT,RCB
Tristan Stubbs,63.38150289017341,39.82658959537573,47.89017341040463,8.0,BAT,DC
Rahul Tripathi,63.64161849710983,48.52601156069365,48.32369942196532,7.5,BAT,CHE
Glenn Maxwell,64.1907514450867,67.47109826589596,58.8728323699422,8.5,ALL,PBKS
Glenn Phillips,64.2485549132948,49.017341040462426,33.00578034682081,8.0,BAT,GT
Rahmanullah Gurbaz,64.82658959537572,48.52601156069365,77.60115606936417,7.5,WK,KKR
Quinton de Kock,66.242774566474,48.52601156069365,82.94797687861272,8.0,WK,KKR
Aiden Markram,66.64739884393065,44.66763005780346,62.19653179190752,8.0,ALL,LSG
Rovman Powell,67.10982658959539,49.176300578034684,59.45086705202312,7.0,BAT,KKR
Ajinkya Rahane,67.36994219653181,48.52601156069365,51.06936416184971,7.5,BAT,KKR
Sam Curran,67.60115606936417,51.82080924855492,55.115606936416185,7.5,ALL,CHE
Will Jacks,67.63005780346822,35.14450867052023,38.063583815028906,7.5,ALL,MI
Jos Buttler,67.94797687861272,48.52601156069365,63.20809248554914,9.0,WK,GT
Angkrish Raghuvanshi,68.00578034682081,48.52601156069365,46.73410404624278,6.5,BAT,KKR
Atharva Taide,68.38150289017342,22.341040462427745,48.90173410404624,6.5,BAT,SRH
Shubham Dubey,70.05780346820809,48.52601156069365,26.502890173410407,5.5,BAT,RR
Ashutosh Sharma,70.05780346820809,48.52601156069365,30.404624277456648,7.0,BAT,DC
Nehal Wadhera,70.23121387283237,42.3699421965318,52.80346820809249,7.5,BAT,PBKS
Vijay Shankar,70.40462427745665,30.23121387283237,57.86127167630058,6.5,BAT,CHE
Naman Dhir,70.72254335260116,35.86705202312139,43.26589595375723,6.5,ALL,MI
Hardik Pandya,71.96531791907515,49.45086705202313,61.47398843930636,9.0,ALL,MI
MS Dhoni,71.98843930635837,48.52601156069365,99.65317919075146,7.0,WK,CHE
Ramandeep Singh,72.03757225433526,24.2485549132948,60.46242774566474,7.5,ALL,KKR
K Nitish Reddy,72.55780346820809,32.05202312138728,52.80346820809249,8.0,ALL,SRH
Nitish Rana,73.52601156069363,44.6242774566474,54.82658959537572,7.5,ALL,RR
Ayush Badoni,73.64161849710983,47.26878612716763,67.25433526011561,7.0,BAT,LSG
Mahipal Lomror,73.78612716763006,27.19653179190752,60.46242774566474,6.5,BAT,GT
Abdul Samad,74.46531791907515,45.07225433526012,70.4335260115607,6.5,BAT,LSG
Abishek Porel,74.56647398843931,48.52601156069365,62.39884393063585,6.5,WK,DC
David Miller,74.82658959537574,48.52601156069365,62.63005780346821,8.0,BAT,LSG
Mitchell Marsh,75.02890173410404,66.5606936416185,36.04046242774567,8.0,BAT,LSG
Philip Salt,75.3757225433526,48.52601156069365,59.624277456647405,8.5,WK,RCB
Shreyas Iyer,77.51445086705203,44.884393063583815,56.5606936416185,8.5,BAT,PBKS
Rahul Tewatia,77.63005780346822,26.416184971098268,69.85549132947978,7.0,ALL,GT
Axar Patel,77.91907514450867,74.1907514450867,72.16763005780348,9.0,ALL,DC
Shashank Singh,78.61271676300578,52.70231213872833,55.98265895953757,7.5,BAT,PBKS
Dhruv Jurel,79.11849710982659,48.52601156069365,63.93063583815029,7.5,WK,RR
Rashid-Khan,79.33526011560694,78.5549132947977,70.72254335260116,9.0,BOWL,GT
Ravindra Jadeja,79.378612716763,74.39306358381504,73.03468208092487,8.5,ALL,CHE
Moeen Ali,79.4364161849711,72.94797687861274,68.98843930635839,7.0,ALL,KKR
Rachin Ravindra,79.60115606936417,44.71098265895954,57.86127167630058,8.0,BAT,CHE
Riyan Parag,81.53179190751446,28.540462427745663,72.60115606936417,8.0,ALL,RR
Lokesh Rahul,81.84971098265896,48.52601156069365,96.53179190751446,9.0,WK,DC
Jake Fraser-McGurk,82.22543352601157,48.52601156069365,43.26589595375723,7.5,BAT,DC
Rohit Sharma,82.28323699421966,26.416184971098268,63.93063583815029,9.0,BAT,MI
Prabhsimran Singh,82.77456647398844,48.52601156069365,39.21965317919075,7.5,WK,PBKS
Devon Conway,82.81791907514452,48.52601156069365,57.86127167630058,8.0,WK,CHE
Sai Sudharsan,82.8757225433526,48.52601156069365,46.73410404624278,8.0,BAT,GT
Liam Livingstone,82.97687861271676,57.6878612716763,49.47976878612717,8.0,ALL,RCB
Venkatesh Iyer,84.07514450867052,33.872832369942195,68.98843930635839,8.0,BAT,KKR
Rinku Singh,84.8121387283237,48.52601156069365,71.15606936416185,7.5,BAT,KKR
Faf du Plessis,85.05780346820809,48.52601156069365,56.84971098265896,8.5,BAT,DC
Shimron Hetmyer,85.15895953757224,48.52601156069365,69.85549132947978,7.5,BAT,RR
Sunil Narine,86.09826589595376,78.71387283236994,65.95375722543353,9.0,ALL,KKR
Virat Kohli,86.1271676300578,48.52601156069365,73.32369942196533,9.0,BAT,RCB
Shivam Dube,86.62138728323698,23.04913294797688,67.97687861271677,8.0,BAT,CHE
Tilak Varma,86.99421965317919,40.54913294797688,71.15606936416185,8.0,BAT,MI
Ishan Kishan,87.1965317919075,48.52601156069365,93.35260115606935,8.0,WK,SRH
Rajat Patidar,87.76011560693641,48.52601156069365,57.86127167630058,8.0,BAT,RCB
Ruturaj Gaikwad,88.49710982658961,48.52601156069365,72.60115606936417,9.0,BAT,CHE
Travis Head,89.71098265895954,22.514450867052023,26.502890173410407,9.0,BAT,SRH
Shubman Gill,89.71098265895955,48.52601156069365,65.95375722543353,9.0,BAT,GT
Abhishek Sharma,90.40462427745663,52.384393063583815,65.95375722543353,8.5,ALL,SRH
Yashasvi Jaiswal,90.60693641618496,22.167630057803468,69.85549132947978,9.0,BAT,RR
Andre Russell,90.82369942196532,69.08959537572255,64.79768786127168,8.5,ALL,KKR
Sanju Samson,91.0693641618497,48.52601156069365,98.15028901734104,9.0,WK,RR
Heinrich Klaasen,91.9942196531792,48.52601156069365,88.90173410404624,9.0,WK,SRH
Suryakumar Yadav,93.35260115606935,48.52601156069365,68.98843930635839,9.0,BAT,MI
Nicholas Pooran,93.41040462427743,48.52601156069365,91.64739884393065,8.5,WK,LSG
Shardul Thakur,50,69,64,7.5,BOWL,LSG
Aaron Hardie,60.00,57.10,53.84,7.0,ALL,PBKS
Abhinandan Singh,25.24,57.97,32.74,5.0,BOWL,RCB
Ajay Mandal,60.00,57.10,53.84,6.5,ALL,DC
Aniket Verma,70.00,42.91,56.50,5.0,BAT,SRH
Arshin Kulkarni,60.00,57.10,53.84,6.0,ALL,LSG
Aryan Juyal,60.00,48.53,70.10,5.5,WK,LSG
Ashok Sharma,25.24,57.97,32.74,5.0,BOWL,RR
Ashwani Kumar,25.24,57.97,32.74,5.5,BOWL,MI
Bevon Jacobs,60.00,42.91,56.50,6.0,BAT,MI
Corbin Bosch,60.00,57.10,53.84,6.0,ALL,MI
Digvesh Singh,25.24,57.97,32.74,5.0,BOWL,LSG
Eshan Malinga,25.24,57.97,32.74,6.0,BOWL,SRH
Gurjapneet Singh,25.24,57.97,32.74,6.0,BOWL,CHE
Harnoor Singh Pannu,60.00,42.91,56.50,5.0,BAT,PBKS
Himmat Singh,60.00,42.91,56.50,5.5,BAT,LSG
Jacob Bethell,60.00,42.91,56.50,7.0,BAT,RCB
Jamie Overton,60.00,57.10,53.84,6.5,ALL,CHE
Josh Inglis,60.00,48.53,70.10,7.5,WK,PBKS
KL Shrijith,60.00,48.53,70.10,6.0,WK,MI
Kamindu Mendis,60.00,42.91,56.50,7.0,BAT,SRH
Kamlesh Nagarkoti,25.24,57.97,32.74,6.0,BOWL,CHE
Karim Janat,60.00,57.10,53.84,6.0,ALL,GT
Karun Nair,60.00,42.91,56.50,7.0,BAT,DC
Kunal Singh Rathore,60.00,48.53,70.10,5.0,WK,RR
Lungi Ngidi,25.24,62.97,32.74,7.5,BOWL,RCB
Luvnith Sisodia,60.00,48.53,70.10,5.5,WK,KKR
Madhav Tiwari,60.00,57.10,53.84,5.0,ALL,DC
Manoj Bhandage,60.00,57.10,53.84,6.5,ALL,RCB
Manvanth Kumar L,60.00,57.10,53.84,5.5,ALL,DC
Matthew Breetzke,60.00,42.91,56.50,6.5,BAT,LSG
Mujeeb-ur-Rahman,25.24,57.97,32.74,7.0,BOWL,MI
Musheer Khan,60.00,57.10,53.84,6.0,ALL,PBKS
Nishant Sindhu,60.00,57.10,53.84,6.0,ALL,GT
Prince Yadav,25.24,57.97,32.74,5.5,BOWL,LSG
Priyansh Arya,70.00,42.91,56.50,6.5,BAT,PBKS
Pyla Avinash,60.00,42.91,56.50,5.5,BAT,PBKS
Raj Angad Bawa,60.00,42.91,56.50,5.5,BAT,MI
Ramakrishna Ghosh,60.00,57.10,53.84,5.5,ALL,CHE
Robin Minz,60.00,48.53,70.10,5.5,WK,MI
Ryan Rickelton,60.00,48.53,70.10,7.5,WK,MI
Sachin Baby,60.00,42.91,56.50,6.5,BAT,SRH
Satyanarayana Raju,60.00,57.10,53.84,5.5,ALL,MI
Shaik Rasheed,60.00,42.91,56.50,5.0,BAT,CHE
Sherfane Rutherford,60.00,42.91,56.50,7.0,BAT,GT
Suryansh Shedge,60.00,57.10,53.84,5.5,ALL,PBKS
Swastik Chikara,60.00,42.91,56.50,5.5,BAT,RCB
Tripurana Vijay,25.24,57.97,32.74,5.5,BOWL,DC
Vaibhav Suryavanshi,60.00,42.91,56.50,5.0,BAT,RR
Vansh Bedi,60.00,48.53,70.10,5.0,WK,CHE
Vignesh Puthur,60.24,57.97,32.74,5.0,BOWL,MI
Vipraj Nigam,60.24,57.97,32.74,5.0,BOWL,DC
Wiaan Mulder,60.00,57.10,53.84,7.0,ALL,SRH
Xavier Bartlett,25.24,57.97,32.74,6.5,BOWL,PBKS
Yuvraj Chaudhary,60.00,57.10,53.84,5.0,ALL,LSG
Zeeshan Ansari,25.24,57.97,32.74,5.5,BOWL,SRH