Player,Credits,Player Type,Team,Batting Form,Bowling Form
Vansh Bedi,5.0,WK,CHE,30.0,30.0
Andre Siddharth,5.5,BAT,CHE,50.0,41.24309793664632
Ramakrishna Ghosh,5.5,ALL,CHE,30.0,30.0
Shaik Rasheed,5.0,BAT,CHE,43.52805145046524,30.0
Gurjapneet Singh,6.0,BOWL,CHE,30.0,30.0
Matheesha Pathirana,8.5,BOWL,CHE,50.0,62.80950305143854
Noor Ahmad,7.5,BOWL,CHE,13.84814586754242,93.8673350770125
Anshul Kamboj,6.0,BOWL,CHE,26.36656746031746,55.884917175239764
Nathan Ellis,7.0,BOWL,CHE,50.0,33.012205754141235
Mukesh Choudhary,6.5,BOWL,CHE,50.0,19.439843068875327
Ruturaj Gaikwad,9.0,BAT,CHE,61.712746305418726,30.0
Kamlesh Nagarkoti,6.0,BOWL,CHE,30.0,30.0
Rachin Ravindra,8.0,BAT,CHE,58.588909414340456,30.0
Khaleel Ahmed,7.5,BOWL,CHE,14.48263888888889,71.84757337983145
Shivam Dube,8.0,BAT,CHE,72.35290093048712,30.0
Rahul Tripathi,7.5,BAT,CHE,36.13817049808429,30.0
Sam Curran,7.5,ALL,CHE,53.45864121510673,20.68875326939843
Shreyas Gopal,6.5,BOWL,CHE,30.0,30.0
Deepak Hooda,7.0,BAT,CHE,30.90441981390257,30.0
Devon Conway,8.0,WK,CHE,47.4878557744937,30.0
Jamie Overton,6.5,ALL,CHE,57.08285440613027,14.099099099099101
Vijay Shankar,6.5,BAT,CHE,53.229166666666664,30.0
Ravichandran Ashwin,8.0,ALL,CHE,27.611179529282975,55.28262133100843
Ravindra Jadeja,8.5,ALL,CHE,71.47314586754241,65.3785236849753
MS Dhoni,7.0,WK,CHE,64.28273809523809,30.0
Madhav Tiwari,5.0,ALL,DC,30.0,30.0
Manvanth Kumar L,5.5,ALL,DC,30.0,30.0
Tripurana Vijay,5.5,BOWL,DC,30.0,30.0
Vipraj Nigam,5.0,BOWL,DC,69.97441160372195,63.506974716652145
Tristan Stubbs,8.0,BAT,DC,76.70539135194306,12.747747747747749
Abishek Porel,6.5,WK,DC,74.73727422003283,30.0
Ashutosh Sharma,7.0,BAT,DC,74.74421866447729,30.0
Donovan Ferreira,7.0,ALL,DC,10.112599206349206,30.0
Sameer Rizvi,6.5,BAT,DC,38.4887794198139,30.0
Jake Fraser-McGurk,7.5,BAT,DC,40.42614258347017,30.0
Ajay Mandal,6.5,ALL,DC,30.0,30.0
Darshan Nalkande,6.5,BOWL,DC,30.0,30.0
T Natarajan,7.5,BOWL,DC,50.0,30.0
Mukesh Kumar,7.0,BOWL,DC,50.0,57.412816041848316
Kuldeep Yadav,8.5,BOWL,DC,35.48250205254516,86.30122057541413
Mohit Sharma,7.5,BOWL,DC,10.112599206349206,31.223481546062196
Lokesh Rahul,9.0,WK,DC,79.5734126984127,30.0
Axar Patel,9.0,ALL,DC,78.10372194854953,59.12307468759082
Dushmantha Chameera,7.0,BOWL,DC,16.41367337164751,41.113048532403376
Karun Nair,7.0,BAT,DC,73.48421250684181,30.0
Faf du Plessis,8.5,BAT,DC,58.35960591133005,30.0
Mitchell Starc,8.5,BOWL,DC,18.414049671592775,69.3018018018018
Gurnoor Brar Singh,5.5,BOWL,GT,30.0,30.0
Nishant Sindhu,6.0,ALL,GT,30.0,30.0
Arshad Khan,5.5,ALL,GT,22.003951149425287,51.880993897122934
Sai Sudharsan,8.0,BAT,GT,87.88095238095238,30.0
Kumar Kushagra,5.5,WK,GT,30.0,30.0
Manav Suthar,6.0,ALL,GT,30.0,30.0
Sherfane Rutherford,7.0,BAT,GT,79.14590175150519,30.0
Gerald Coetzee,7.0,BOWL,GT,55.01775451559934,57.598808485905266
Anuj Rawat,6.5,WK,GT,30.0,30.0
Kulwant Khejroliya,6.0,BOWL,GT,50.0,34.9411508282476
Shubman Gill,9.0,BAT,GT,87.41211685823755,30.0
Ravisrinivasan Sai Kishore,7.0,BOWL,GT,17.890376984126984,86.47268235977913
Mahipal Lomror,6.5,BAT,GT,30.0,30.0
Karim Janat,6.0,ALL,GT,50.0,12.207207207207208
Washington Sundar,7.0,ALL,GT,57.93120552818828,30.887823307178152
Shahrukh Khan,7.5,ALL,GT,22.003951149425287,51.880993897122934
Mohammed Siraj,8.0,BOWL,GT,50.0,81.17480383609417
Glenn Phillips,8.0,BAT,GT,30.0,30.0
Rashid-Khan,9.0,BOWL,GT,54.38940202517789,60.19979657076433
Prasidh Krishna,7.5,BOWL,GT,50.0,96.24309793664634
Jayant Yadav,6.5,BOWL,GT,30.0,30.0
Rahul Tewatia,7.0,ALL,GT,64.8152709359606,30.0
Kagiso Rabada,8.5,BOWL,GT,36.9066091954023,33.795408311537344
Jos Buttler,9.0,WK,GT,91.30993431855502,30.0
Ishant Sharma,7.5,BOWL,GT,50.0,38.55274629468178
Harshit Rana,8.0,BOWL,KKR,27.47359058565955,72.31255448997385
Angkrish Raghuvanshi,6.5,BAT,KKR,74.06759715380404,30.0
Vaibhav Arora,6.5,BOWL,KKR,6.039545703338806,72.86762569020634
Luvnith Sisodia,5.5,WK,KKR,30.0,30.0
Mayank Markande,6.0,BOWL,KKR,30.0,30.0
Chetan Sakariya,6.0,BOWL,KKR,50.0,15.180180180180182
Rahmanullah Gurbaz,7.5,WK,KKR,50.98210864805693,30.0
Spencer Johnson,6.5,BOWL,KKR,16.41367337164751,18.931996512641675
Varun Chakravarthy,9.0,BOWL,KKR,20.072916666666668,93.97704155768673
Anrich Nortje,8.0,BOWL,KKR,24.948275862068964,50.41412380122057
Anukul Sudhakar Roy,6.0,ALL,KKR,6.039545703338806,51.39276373147341
Ramandeep Singh,7.5,ALL,KKR,37.28451696770662,30.0
Rovman Powell,7.0,BAT,KKR,24.374367131910237,30.0
Rinku Singh,7.5,BAT,KKR,73.46312260536399,30.0
Venkatesh Iyer,8.0,BAT,KKR,56.16676929392447,30.0
Moeen Ali,7.0,ALL,KKR,15.341201423097974,68.07323452484744
Quinton de Kock,8.0,WK,KKR,58.84922345374931,30.0
Andre Russell,8.5,ALL,KKR,73.08035714285714,55.45698924731184
Sunil Narine,9.0,ALL,KKR,79.33199917898193,77.09241499564081
Manish Pandey,7.0,BAT,KKR,47.853482484948,30.0
Ajinkya Rahane,7.5,BAT,KKR,81.48830049261083,30.0
Umran Malik,6.0,BOWL,KKR,30.0,30.0
Digvesh Singh,5.0,BOWL,LSG,10.112599206349206,78.4285091543156
Prince Yadav,5.5,BOWL,LSG,18.706776819923373,37.90467887242081
Shamar Joseph,6.5,BOWL,LSG,30.0,30.0
Mayank Yadav,7.5,BOWL,LSG,50.0,27.09968032548678
Arshin Kulkarni,6.0,ALL,LSG,30.0,30.0
Akash Deep,7.0,BOWL,LSG,6.039545703338806,32.48619587329265
Akash Singh,6.0,BOWL,LSG,50.0,62.4702121476315
Yuvraj Chaudhary,5.0,ALL,LSG,30.0,30.0
Ravi Bishnoi,8.0,BOWL,LSG,27.8440065681445,52.935919790758504
Abdul Samad,6.5,BAT,LSG,75.64008620689656,13.018018018018017
Shahbaz Ahmed,7.0,ALL,LSG,28.665674603174605,13.288288288288289
Rajvardhan Hangargekar,5.5,BOWL,LSG,30.0,30.0
Ayush Badoni,7.0,BAT,LSG,79.62236590038314,30.0
Aryan Juyal,5.5,WK,LSG,30.0,30.0
Mohsin Khan,7.0,BOWL,LSG,30.0,30.0
Matthew Breetzke,6.5,BAT,LSG,30.0,30.0
Manimaran Siddharth,6.0,BOWL,LSG,50.0,41.24309793664632
Rishabh Pant,9.0,WK,LSG,46.63731527093596,30.0
Himmat Singh,5.5,BAT,LSG,50.0,30.0
Aiden Markram,8.0,ALL,LSG,80.06551039956213,60.66695727986051
Avesh Khan,8.0,BOWL,LSG,55.97285509031198,57.78116826503924
Nicholas Pooran,8.5,WK,LSG,96.03434592227696,30.0
David Miller,8.0,BAT,LSG,54.38057608100711,30.0
Mitchell Marsh,8.0,BAT,LSG,87.11843185550082,30.0
Bevon Jacobs,6.0,BAT,MI,30.0,30.0
Naman Dhir,6.5,ALL,MI,74.72061439518336,41.93693693693693
Robin Minz,5.5,WK,MI,30.0,30.0
Raj Angad Bawa,5.5,BAT,MI,50.0,30.0
Vignesh Puthur,5.0,BOWL,MI,50.0,66.60418482999128
Satyanarayana Raju,5.5,ALL,MI,20.072916666666668,17.59590235396687
Ashwani Kumar,5.5,BOWL,MI,50.0,59.25385062481837
Tilak Varma,8.0,BAT,MI,69.15961959496443,30.0
KL Shrijith,6.0,WK,MI,30.0,30.0
Mujeeb-ur-Rahman,7.0,BOWL,MI,50.0,23.45030514385353
Ryan Rickelton,7.5,WK,MI,82.67326902025177,30.0
Arjun Tendulkar,5.0,BOWL,MI,30.0,30.0
Will Jacks,7.5,ALL,MI,61.49538177339901,70.69238593432142
Hardik Pandya,9.0,ALL,MI,71.25321565407772,77.19412961348446
Mitchell Santner,7.5,ALL,MI,44.01005747126436,53.990845684394074
Reece Topley,6.5,BOWL,MI,30.0,30.0
Corbin Bosch,6.0,ALL,MI,50.770662287903654,40.94812554489974
Jasprit Bumrah,9.0,BOWL,MI,8.420498084291188,90.56378959604767
Trent Boult,8.5,BOWL,MI,16.068931308155445,88.722028480093
Suryakumar Yadav,9.0,BAT,MI,94.94051039956213,30.0
Deepak Chahar,8.0,BOWL,MI,51.605295566502456,66.17698343504796
Karn Sharma,6.5,BOWL,MI,20.072916666666668,73.67916303400175
Rohit Sharma,9.0,BAT,MI,80.8845785440613,30.0
Musheer Khan,6.0,ALL,PBKS,30.0,30.0
Harnoor Singh Pannu,5.0,BAT,PBKS,30.0,30.0
Pyla Avinash,5.5,BAT,PBKS,30.0,30.0
Suryansh Shedge,5.5,ALL,PBKS,19.3027162014231,14.639639639639642
Harpreet Brar,6.5,BOWL,PBKS,50.0,59.7951176983435
Priyansh Arya,6.5,BAT,PBKS,92.39603858784893,30.0
Kuldeep Sen,6.0,BOWL,PBKS,30.0,30.0
Marco Jansen,8.0,ALL,PBKS,46.40284619594964,73.23307178145888
Nehal Wadhera,7.5,BAT,PBKS,71.45905172413794,20.585585585585584
Prabhsimran Singh,7.5,WK,PBKS,92.31267104542967,30.0
Aaron Hardie,7.0,ALL,PBKS,30.0,30.0
Arshdeep Singh,8.5,BOWL,PBKS,12.301570197044335,91.01496657948272
Azmatullah Omarzai,7.5,ALL,PBKS,34.90920908593323,41.90206335367626
Vishnu Vinod,6.5,WK,PBKS,30.0,30.0
Xavier Bartlett,6.5,BOWL,PBKS,24.903975095785437,41.04039523394363
Shashank Singh,7.5,BAT,PBKS,68.54584017515052,14.36936936936937
Lockie Ferguson,7.5,BOWL,PBKS,49.72413793103449,61.263440860215056
Josh Inglis,7.5,WK,PBKS,53.70155993431855,30.0
Vyshak Vijaykumar,7.0,BOWL,PBKS,50.0,15.45045045045045
Pravin Dubey,6.0,BOWL,PBKS,30.0,30.0
Yash Thakur,6.5,BOWL,PBKS,50.0,18.306451612903224
Shreyas Iyer,8.5,BAT,PBKS,93.7002599890531,30.0
Marcus Stoinis,8.0,ALL,PBKS,62.714764641488784,17.47747747747748
Yuzvendra Chahal,8.5,BOWL,PBKS,50.0,72.37939552455683
Glenn Maxwell,8.5,ALL,PBKS,34.9059934318555,60.732345248474275
Abhinandan Singh,5.0,BOWL,RCB,30.0,30.0
Swastik Chikara,5.5,BAT,RCB,30.0,30.0
Mohit Rathee,6.0,ALL,RCB,30.0,30.0
Suyash Sharma,6.0,BOWL,RCB,50.0,53.212728857890156
Jacob Bethell,7.0,BAT,RCB,64.59660645867542,30.0
Rasikh Salam,6.5,BOWL,RCB,50.0,20.57323452484743
Yash Dayal,7.0,BOWL,RCB,6.039545703338806,61.91368788142982
Manoj Bhandage,6.5,ALL,RCB,9.261904761904763,30.0
Nuwan Thushara,7.5,BOWL,RCB,30.0,30.0
Romario Shepherd,7.0,ALL,RCB,65.8603927203065,19.051874455100265
Tim David,7.5,BAT,RCB,82.12787356321839,30.0
Devdutt Padikkal,7.0,BAT,RCB,75.82519157088122,30.0
Krunal Pandya,7.5,ALL,RCB,51.25047892720307,82.9940424295263
Rajat Patidar,8.0,BAT,RCB,69.07389162561576,30.0
Jitesh Sharma,7.5,WK,RCB,59.71192528735632,30.0
Lungi Ngidi,7.5,BOWL,RCB,50.0,67.5864574251671
Philip Salt,8.5,WK,RCB,81.75324986316365,30.0
Liam Livingstone,8.0,ALL,RCB,49.43452380952381,48.44013368206917
Josh Hazlewood,8.5,BOWL,RCB,8.420498084291188,90.68802673641383
Bhuvneshwar Kumar,8.0,BOWL,RCB,21.4681855500821,74.74934612031387
Swapnil Singh,7.0,ALL,RCB,30.0,30.0
Virat Kohli,9.0,BAT,RCB,83.36826081007116,30.0
Vaibhav Suryavanshi,5.0,BAT,RR,79.24661330049261,30.0
Ashok Sharma,5.0,BOWL,RR,30.0,30.0
Kwena Maphaka,6.0,BOWL,RR,30.0,30.0
Kunal Singh Rathore,5.0,WK,RR,6.039545703338806,30.0
Akash Madhwal,7.0,BOWL,RR,17.131944444444443,15.99099099099099
Shubham Dubey,5.5,BAT,RR,66.55665024630542,30.0
Yudhvir Singh Charak,6.5,ALL,RR,50.0,18.38927637314734
Maheesh Theekshana,7.5,BOWL,RR,18.499007936507937,62.08660273176403
Dhruv Jurel,7.5,WK,RR,74.04655856595511,30.0
Kumar Kartikeya,6.0,BOWL,RR,16.225078680897646,38.06306306306307
Yashasvi Jaiswal,9.0,BAT,RR,89.1599958949097,30.0
FazalHaq Farooqi,7.0,BOWL,RR,22.003951149425287,16.8018018018018
Riyan Parag,8.0,ALL,RR,90.51936234263819,47.45931415286255
Tushar Deshpande,7.5,BOWL,RR,21.68366858237548,45.24847428073235
Jofra Archer,8.0,BOWL,RR,44.357655993431855,64.11798895669864
Wanindu Hasaranga,8.5,ALL,RR,20.230227148330595,67.58064516129033
Nitish Rana,7.5,ALL,RR,76.10820333880679,31.936936936936938
Shimron Hetmyer,7.5,BAT,RR,69.37647099069513,30.0
Sandeep Sharma,7.5,BOWL,RR,27.573275862068964,55.690932868352235
Sanju Samson,9.0,WK,RR,71.47639573070607,30.0
Aniket Verma,5.0,BAT,SRH,72.74671592775042,30.0
Eshan Malinga,6.0,BOWL,SRH,50.0,60.61900610287707
K Nitish Reddy,8.0,ALL,SRH,54.63214969896004,30.0
Abhinav Manohar,6.5,BAT,SRH,36.475266830870275,30.0
Atharva Taide,6.5,BAT,SRH,30.0,30.0
Simarjeet- Singh,6.0,BOWL,SRH,14.402162014230981,22.46149375181634
Rahul Chahar,6.5,BOWL,SRH,50.0,31.936936936936938
Abhishek Sharma,8.5,ALL,SRH,89.95309934318556,26.126126126126128
Kamindu Mendis,7.0,BAT,SRH,43.219280240831964,49.64109270560884
Wiaan Mulder,7.0,ALL,SRH,30.0,30.0
Zeeshan Ansari,5.5,BOWL,SRH,50.0,49.60767218831735
Ishan Kishan,8.0,WK,SRH,66.19783114395183,12.477477477477477
Heinrich Klaasen,9.0,WK,SRH,81.25626026272577,30.0
Sachin Baby,6.5,BAT,SRH,50.0,30.0
Travis Head,9.0,BAT,SRH,80.02979611384784,30.0
Adam Zampa,7.5,BOWL,SRH,50.0,29.475443185120607
Harshal Patel,8.0,BOWL,SRH,25.276238368910782,76.64705027608254
Pat Cummins,8.5,BOWL,SRH,61.790024630541865,74.53501888985761
Mohammed Shami,8.5,BOWL,SRH,27.666102216748772,43.421970357454235
Jaydev Unadkat,7.0,BOWL,SRH,50.0,79.33594885207788
